--- Session started : 2021-08-15-150638
Algorithm being used is 'None'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              683                 1          0          0     
1              187                 1          1          1     
2              678                 1          1          1     
3              25                  1          0          0     
4              106                 1          0          0     
5              58                  1          0          0     
6              210                 1          1          1     
7              680                 1          0          1     
8              25                  1          0          0     
9              223                 1          1          1     
10             164                 1          0          0     
11             150                 1          1          1     
12             381                 1          1          1     
13             617                 1          1          0     
14             31                  1          0          0     
15             523                 1          0          0     
16             658                 1          0          0     
17             619                 1          1          1     
18             189                 1          1          1     
19             484                 1          1          1     
20             651                 1          0          0     
21             255                 1          0          1     
22             671                 1          1          1     
23             16                  1          0          0     
24             106                 1          0          0     
25             264                 1          0          0     
26             507                 1          1          1     
27             394                 1          0          0     
28             427                 1          0          0     
29             373                 1          1          0     
30             600                 1          0          0     
31             687                 1          0          0     
32             223                 1          1          1     
33             339                 1          0          0     
34             398                 1          0          0     
35             683                 1          0          0     
36             493                 1          0          0     
37             211                 1          0          0     
38             283                 1          1          1     
39             461                 1          0          0     
40             641                 1          0          0     
41             436                 1          0          0     
42             521                 1          1          1     
43             201                 1          0          0     
44             133                 1          0          0     
45             519                 1          0          0     
46             87                  1          1          1     
47             138                 1          1          1     
48             227                 1          0          0     
49             521                 1          1          1     
50             545                 1          0          0     
51             42                  1          0          0     
52             293                 1          1          1     
53             67                  1          0          0     
54             14                  1          0          0     
55             372                 1          0          0     
56             335                 1          0          0     
57             260                 1          1          1     
58             452                 1          1          0     
59             144                 1          1          1     
60             388                 1          0          0     
61             77                  1          1          1     
62             266                 1          1          0     
63             207                 1          1          1     
64             4                   1          1          1     
65             147                 1          0          0     
66             653                 1          1          1     
67             335                 1          0          0     
68             105                 1          0          0     
69             603                 1          0          0     
70             526                 1          1          1     
71             159                 1          1          1     
72             274                 1          0          0     
73             420                 1          0          0     
74             414                 1          0          0     
75             549                 1          0          0     
76             349                 1          1          0     
Prediction accuracy  = 70 out of 77 (90.91%)
--- Session ended : 2021-08-15-150638
