--- Session started : 2021-08-16-101504
Algorithm being used is 'Remove incomplete Records'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              286                 1          1          0     
1              223                 1          0          0     
2              148                 1          0          0     
3              265                 1          0          0     
4              265                 1          0          0     
5              94                  1          1          1     
6              223                0.9         0          0     
7              265                 1          0          0     
8              52                  1          0          0     
9              16                  1          1          0     
10             265                 1          0          0     
11             251                 1          0          0     
12             139                 1          0          0     
13             265                 1          0          0     
14             265                 1          0          0     
15             265                 1          0          0     
16             265                 1          1          0     
17             258                 1          1          1     
18             98                  1          0          0     
19             286                 1          1          0     
20             36                  1          0          0     
21             222                 1          1          1     
22             265                 1          1          0     
23             223                 1          0          0     
24             284                 1          0          0     
25             212                 1          0          0     
26             213                0.9         0          0     
27             114                 1          1          1     
28             223                0.9         0          0     
29             82                  1          0          0     
30             37                  1          1          1     
31             265                 1          1          0     
32             265                 1          1          0     
33             110                 1          0          0     
34             265                 1          0          0     
35             265                 1          0          0     
36             191                 1          0          0     
37             273                 1          1          1     
38             223                0.9         0          0     
39             207                 1          0          0     
40             213                0.9         1          0     
41             265                 1          1          0     
42             213                0.9         1          0     
43             265                 1          0          0     
44             223                 1          0          0     
45             265                 1          1          0     
46             265                 1          0          0     
47             33                  1          1          1     
48             265                 1          1          0     
49             213                0.9         0          0     
50             90                  1          0          0     
51             213                0.9         0          0     
52             262                 1          1          0     
53             286                 1          0          0     
54             229                 1          0          0     
55             0                   1          0          0     
56             179                 1          0          0     
57             153                 1          1          1     
58             265                 1          1          0     
59             265                 1          1          0     
60             265                 1          0          0     
61             265                 1          0          0     
62             265                 1          1          0     
63             265                 1          0          0     
64             87                  1          0          0     
65             67                  1          0          0     
66             4                   1          0          0     
67             24                  1          1          1     
68             59                  1          0          0     
69             223                 1          1          0     
70             92                  1          1          1     
71             98                  1          0          0     
72             216                 1          1          1     
73             94                  1          1          1     
74             250                 1          0          0     
75             223                0.9         0          0     
76             223                 1          0          0     
77             119                 1          0          0     
78             265                 1          0          0     
79             159                 1          0          0     
80             274                 1          0          1     
81             288                 1          0          0     
82             0                   1          0          0     
83             223                 1          0          0     
84             284                 1          1          0     
85             241                 1          1          1     
86             265                 1          0          0     
87             73                  1          1          1     
88             190                 1          1          1     
89             200                 1          0          0     
90             286                 1          1          0     
91             200                 1          0          0     
92             261                 1          0          0     
93             265                 1          0          0     
94             211                 1          0          0     
95             179                 1          0          0     
96             265                 1          1          0     
97             92                  1          0          1     
98             107                 1          0          0     
99             265                 1          1          0     
100            213                0.9         1          0     
101            265                 1          0          0     
102            29                  1          0          0     
103            242                 1          1          1     
104            25                  1          0          0     
105            223                0.9         0          0     
106            211                 1          0          0     
107            1                   1          1          1     
108            19                  1          1          0     
109            265                 1          0          0     
110            109                 1          1          1     
111            183                 1          0          0     
112            40                  1          1          1     
113            265                 1          1          0     
114            96                  1          0          0     
115            169                 1          0          0     
Prediction accuracy  = 90 out of 116 (77.59%)
--- Session ended : 2021-08-16-101504
