--- Session started : 2021-08-21-145539
Algorithm being used is 'ReplaceMissingValuesWithMean'

Test Record    Best Match     Similarity  Predicted   Calculated  
Number         Record         Measure     Outcome     Outcome     
0              190                0.9         0          0     
1              190                0.9         0          0     
2              190                0.9         0          0     
3              32                 0.9         0          0     
4              26                 0.9         0          0     
5              32                 0.9         0          0     
6              196                0.9         0          0     
7              190                0.9         0          0     
8              119                0.9         0          0     
9              370                0.8         0          0     
10             190                0.8         0          0     
11             32                 0.9         0          0     
12             370                0.8         0          0     
13             190                0.9         1          0     
14             363                0.8         0          0     
15             370                0.7         1          0     
16             363                0.8         0          0     
17             32                 0.9         1          0     
18             32                 0.8         1          0     
19             32                 0.8         1          0     
20             32                 0.9         1          0     
21             32                 0.9         0          0     
22             50                 0.8         0          0     
23             2                  0.8         0          0     
24             190                0.9         1          0     
25             295                0.8         0          0     
26             363                0.8         0          0     
27             370                0.8         0          0     
28             190                0.9         0          0     
29             370                0.8         0          0     
30             190                0.8         0          0     
31             370                0.8         1          0     
32             190                0.7         1          0     
33             370                0.7         0          0     
34             32                 0.9         1          0     
35             370                0.8         0          0     
36             370                0.7         0          0     
37             190                0.9         1          0     
38             190                0.8         0          0     
39             32                 0.8         1          0     
40             2                  0.7         1          0     
41             32                 0.8         1          0     
42             32                 0.8         1          0     
43             370                0.8         1          0     
44             190                0.9         1          0     
45             44                 0.8         0          0     
46             32                 0.9         0          0     
47             32                 0.9         0          0     
48             190                0.9         0          0     
49             32                 0.9         0          0     
50             370                0.8         0          0     
51             190                0.8         0          0     
52             363                0.8         0          0     
53             190                0.9         1          0     
54             190                0.9         1          0     
55             190                0.9         0          0     
56             32                 0.9         1          0     
57             363                0.8         0          0     
58             190                0.8         1          0     
59             190                0.8         1          0     
60             370                0.8         1          0     
61             44                 0.9         0          0     
62             190                0.9         0          0     
63             370                0.8         1          0     
64             363                0.8         0          0     
65             32                 0.9         0          0     
66             370                0.8         1          0     
67             190                0.7         1          0     
68             370                0.8         0          0     
69             32                 0.9         0          0     
70             363                0.8         0          0     
71             370                0.8         0          0     
72             295                0.8         0          0     
73             370                0.7         1          0     
74             190                0.8         0          0     
75             32                 0.9         1          0     
76             370                0.8         0          0     
77             190                0.8         1          0     
78             32                 0.9         0          0     
79             190                0.9         0          0     
80             363                0.7         1          0     
81             32                 0.8         0          0     
82             32                 0.9         0          0     
83             32                 0.9         0          0     
84             363                0.8         0          0     
85             190                0.9         0          0     
86             32                 0.9         0          0     
87             190                0.9         1          0     
88             181                0.7         0          0     
89             32                 0.9         0          0     
90             190                0.9         0          0     
91             295                0.8         0          0     
92             32                 0.9         0          0     
93             190                0.9         0          0     
94             274                0.9         0          0     
95             32                 0.9         1          0     
96             363                0.8         1          0     
97             370                0.8         0          0     
98             370                0.8         1          0     
99             370                0.8         0          0     
100            370                0.8         0          0     
101            370                0.8         0          0     
102            370                0.8         0          0     
103            363                0.7         1          0     
104            20                 0.9         0          0     
105            370                0.8         0          0     
106            190                0.8         0          0     
107            32                 0.9         1          0     
108            190                0.9         1          0     
109            190                0.8         1          0     
110            363                0.8         1          0     
111            190                0.9         0          0     
112            370                0.8         0          0     
113            32                 0.9         0          0     
114            363                0.8         1          0     
115            190                0.9         0          0     
116            370                0.8         0          0     
117            32                 0.9         1          0     
118            370                0.8         0          0     
119            190                0.8         1          0     
120            32                 0.8         1          0     
121            32                 0.9         0          0     
122            190                0.9         1          0     
123            32                 0.9         0          0     
124            190                0.9         1          0     
125            32                 0.9         0          0     
126            32                 0.9         1          0     
127            32                 0.9         0          0     
128            190                0.8         0          0     
129            370                0.8         0          0     
130            370                0.8         1          0     
131            190                0.9         1          0     
132            190                0.9         1          0     
133            32                 0.9         1          0     
134            363                0.8         1          0     
135            370                0.8         0          0     
136            190                0.9         0          0     
137            370                0.8         0          0     
138            363                0.8         0          0     
